Team,Span,Mat,Won,Lost,Tied,NR,%
Afghanistan,2015-2019,15,1,14,0,0,6.66
Australia,1975-2019,94,69,23,1,1,74.73
Bangladesh,1999-2019,40,14,25,0,1,35.89
Bermuda,2007-2007,3,0,3,0,0,0
Canada,1979-2011,18,2,16,0,0,11.11
East Africa,1975-1975,3,0,3,0,0,0
England,1975-2019,83,48,32,2,1,59.75
India,1975-2019,84,53,29,1,1,64.45
Ireland,2007-2015,21,7,13,1,0,35.71
Kenya,1996-2011,29,6,22,0,1,21.42
Namibia,2003-2003,6,0,6,0,0,0
Netherlands,1996-2011,20,2,18,0,0,10
New Zealand,1975-2019,89,54,33,1,1,61.93
Pakistan,1975-2019,79,45,32,0,2,58.44
Scotland,1999-2015,14,0,14,0,0,0
South Africa,1992-2019,64,38,23,2,1,61.9
Sri Lanka,1975-2019,80,38,39,1,2,49.35
United Arab Emirates,1996-2015,11,1,10,0,0,9.09
West Indies,1975-2019,80,43,35,0,2,55.12
Zimbabwe,1983-2015,57,11,42,1,3,21.29
